Department,JobRole,Age Band,Age,Business Unit,Attrition,BusinessTravel,EducationField,EnvironmentSatisfaction,Gender,JobLevel,JobSatisfaction,Job Type,MaritalStatus,MonthlyIncome  ,NumCompaniesWorked,OverTime,PerformanceRating,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,Sick Days,Balance Days
Sales,Sales Executive,35 - 44,41,Pune,Yes,Travel_Rarely,Life Sciences,2,Female,2,Medium,Full Time,Single,5993,8,Yes,Outstanding,Good,6,4,0,7,18
Research & Development,Research Scientist,45 - 54,49,Mumbai,No,Travel_Frequently,Life Sciences,3,Male,2,Medium,Full Time,Married,5130,1,No,Outstanding,Good,10,7,1,9,20
Research & Development,Laboratory Technician,35 - 44,37,Mumbai,Yes,Travel_Rarely,Other,4,Male,1,Low,Part Time,Single,2090,6,Yes,Low,Better,0,0,0,8,19
Research & Development,Research Scientist,25 - 34,33,Pune,No,Travel_Frequently,Life Sciences,4,Female,1,Medium,Part Time,Married,2909,1,Yes,Excellent,Better,8,7,3,5,6
Research & Development,Laboratory Technician,25 - 34,27,Banglore,No,Travel_Rarely,Medical,1,Male,1,Low,Part Time,Married,3468,9,No,Good,Bad,2,2,2,7,11
Research & Development,Laboratory Technician,25 - 34,32,Pune,No,Travel_Frequently,Life Sciences,4,Male,1,High,Full Time,Single,3068,0,No,Low,Bad,7,7,3,8,17
Research & Development,Laboratory Technician,Over 55,59,Banglore,No,Travel_Rarely,Medical,3,Female,1,Low,Full Time,Married,2670,4,Yes,Good,Bad,1,0,0,3,19
Research & Development,Laboratory Technician,25 - 34,30,Hyderabad,No,Travel_Rarely,Life Sciences,4,Male,1,Medium,Part Time,Divorced,2693,1,No,Low,Good,1,0,0,1,10
Research & Development,Manufacturing Director,35 - 44,38,Banglore,No,Travel_Frequently,Life Sciences,4,Male,3,Medium,Part Time,Single,9526,0,No,Excellent,Bad,9,7,1,8,6
Research & Development,Healthcare Representative,35 - 44,36,Pune,No,Travel_Rarely,Medical,3,Male,2,Low,Part Time,Married,5237,6,No,Good,Best,7,7,7,7,14
Research & Development,Laboratory Technician,35 - 44,35,Hyderabad,No,Travel_Rarely,Medical,1,Male,1,Very High,Part Time,Married,2426,0,No,Excellent,Best,5,4,0,2,6
Research & Development,Laboratory Technician,25 - 34,29,Banglore,No,Travel_Rarely,Life Sciences,4,Female,2,Very High,Part Time,Single,4193,0,Yes,Low,Bad,9,5,0,12,10
Research & Development,Research Scientist,25 - 34,31,Banglore,No,Travel_Rarely,Life Sciences,1,Male,1,Low,Full Time,Divorced,2911,1,No,Outstanding,Best,5,2,4,9,16
Research & Development,Laboratory Technician,25 - 34,34,Pune,No,Travel_Rarely,Medical,2,Male,1,Very High,Full Time,Divorced,2661,0,No,Outstanding,Best,2,2,1,10,10
Research & Development,Laboratory Technician,25 - 34,28,Pune,Yes,Travel_Rarely,Life Sciences,3,Male,1,Very High,Part Time,Single,2028,5,Yes,Excellent,Best,4,2,0,2,12
Research & Development,Manufacturing Director,25 - 34,29,Banglore,No,Travel_Rarely,Life Sciences,2,Female,3,Low,Part Time,Divorced,9980,1,No,Low,Bad,10,9,8,8,10
Research & Development,Research Scientist,25 - 34,32,Pune,No,Travel_Rarely,Life Sciences,1,Male,1,Low,Full Time,Divorced,3298,0,Yes,Low,Better,6,2,0,2,16
Research & Development,Laboratory Technician,Under 25,22,Hyderabad,No,Non-Travel,Medical,4,Male,1,Low,Part Time,Divorced,2935,1,Yes,Good,Best,1,0,0,11,18
Sales,Manager,45 - 54,53,Pune,No,Travel_Rarely,Life Sciences,1,Female,4,Very High,Full Time,Married,15427,2,No,Outstanding,Better,25,8,3,12,7
Research & Development,Research Scientist,35 - 44,38,Pune,No,Travel_Rarely,Life Sciences,4,Male,1,Medium,Full Time,Single,3944,5,Yes,Low,Good,3,2,1,12,14
Research & Development,Manufacturing Director,Under 25,24,Pune,No,Non-Travel,Other,1,Female,2,Medium,Part Time,Divorced,4011,0,No,Excellent,Good,4,2,1,6,14
Sales,Sales Representative,35 - 44,36,Banglore,Yes,Travel_Rarely,Life Sciences,3,Male,1,Medium,Part Time,Single,3407,7,No,Low,Bad,5,3,0,10,12
Research & Development,Research Director,25 - 34,34,Pune,No,Travel_Rarely,Life Sciences,1,Female,3,Low,Full Time,Single,11994,0,No,Good,Better,12,6,2,4,5
Research & Development,Research Scientist,Under 25,21,Banglore,No,Travel_Rarely,Life Sciences,3,Male,1,Low,Part Time,Single,1232,1,No,Excellent,Best,0,0,0,8,5
Research & Development,Research Scientist,25 - 34,34,Hyderabad,Yes,Travel_Rarely,Medical,2,Male,1,High,Part Time,Single,2960,2,No,Outstanding,Better,4,2,1,1,11
Research & Development,Manager,45 - 54,53,Pune,No,Travel_Rarely,Other,3,Female,5,Very High,Part Time,Divorced,19094,4,No,Low,Better,14,13,4,12,13
Research & Development,Research Scientist,25 - 34,32,Hyderabad,Yes,Travel_Frequently,Life Sciences,2,Female,1,Medium,Part Time,Single,3919,1,Yes,Outstanding,Good,10,2,6,3,7
Sales,Sales Executive,35 - 44,42,Hyderabad,No,Travel_Rarely,Marketing,3,Male,2,Very High,Part Time,Married,6825,0,No,Low,Bad,9,7,4,2,19
Research & Development,Healthcare Representative,35 - 44,44,Pune,No,Travel_Rarely,Medical,1,Female,3,Medium,Part Time,Married,10248,3,No,Low,Better,22,6,5,7,14
Sales,Manager,45 - 54,46,Mumbai,No,Travel_Rarely,Marketing,2,Female,5,Medium,Part Time,Single,18947,3,No,Excellent,Best,2,2,2,10,17
Research & Development,Laboratory Technician,25 - 34,33,Pune,No,Travel_Rarely,Medical,3,Male,1,Low,Part Time,Single,2496,4,No,Excellent,Better,1,1,0,5,18
Research & Development,Healthcare Representative,35 - 44,44,Pune,No,Travel_Rarely,Other,4,Male,2,High,Part Time,Married,6465,2,Yes,Outstanding,Bad,4,2,1,6,5
Research & Development,Laboratory Technician,25 - 34,30,Mumbai,No,Travel_Rarely,Medical,4,Male,1,Low,Part Time,Single,2206,1,No,Outstanding,Good,10,0,1,9,5
Sales,Sales Representative,35 - 44,39,Mumbai,Yes,Travel_Rarely,Technical Degree,4,Male,2,Low,Part Time,Married,2086,3,No,Outstanding,Better,1,0,0,11,20
Research & Development,Research Scientist,Under 25,24,Pune,Yes,Travel_Rarely,Medical,2,Male,1,Medium,Full Time,Married,2293,2,Yes,Low,Good,2,0,2,4,8
Research & Development,Research Scientist,35 - 44,43,Mumbai,No,Travel_Rarely,Medical,4,Female,1,High,Full Time,Divorced,2645,1,No,Good,Good,5,3,1,2,14
Sales,Sales Representative,45 - 54,50,Mumbai,Yes,Travel_Rarely,Marketing,1,Male,1,High,Part Time,Married,2683,1,Yes,Low,Good,3,2,0,5,17
Sales,Sales Representative,35 - 44,35,Hyderabad,No,Travel_Rarely,Marketing,4,Female,1,Very High,Part Time,Married,2014,1,No,Outstanding,Bad,2,2,2,5,13
Research & Development,Research Scientist,35 - 44,36,Banglore,No,Travel_Rarely,Life Sciences,2,Female,1,Low,Part Time,Married,3419,9,Yes,Low,Good,1,1,0,7,12
Sales,Sales Executive,25 - 34,33,Banglore,No,Travel_Frequently,Life Sciences,3,Female,2,High,Part Time,Married,5376,2,No,Excellent,Better,5,3,1,8,19
